Source.Name,freq,real,imag
data10.csv,3768753.917,1476.442467,-6654.233284
data10.csv,4134911.677,1380.003569,-6137.539549
data10.csv,4536643.927,1298.489043,-5664.488477
data10.csv,4977406.952,1213.899376,-5229.640038
data10.csv,5460992.831,1084.154924,-4850.804464
data10.csv,5991562.07,1010.529154,-4477.363713
data10.csv,6573679.393,944.357498,-4135.540941
data10.csv,7212353.016,880.619033,-3819.827014
data10.csv,7913077.732,820.2771891,-3528.251728
data10.csv,8681882.189,767.3175153,-3259.530693
data10.csv,9525380.756,715.0963488,-3014.985142
data10.csv,10450830.43,666.7718317,-2789.608603
data10.csv,11466193.26,621.4396086,-2581.577963
data10.csv,12580204.87,578.7012827,-2388.551167
data10.csv,13802449.61,537.3647381,-2212.002879
data10.csv,15143442.98,499.3681927,-2049.998977
data10.csv,16614722.15,462.53188,-1900.47565
data10.csv,18228945.2,426.1356714,-1761.748399
data10.csv,20000000,392.2995521,-1635.336007
data11.csv,20,32299586.38,-48516184.74
data11.csv,21.943,29928864.71,-44200916.63
data11.csv,24.075,27614456.68,-40986181.44
data11.csv,26.414,26493060.24,-39575212.21
data11.csv,28.98,25674018.04,-36972194.22
